"Question_Number","Part","Subject","Context_Passage","Question_English","Question_Hindi","Option_A_English","Option_A_Hindi","Option_B_English","Option_B_Hindi","Option_C_English","Option_C_Hindi","Option_D_English","Option_D_Hindi","Correct_Option_Key","Explanation_Hindi"
"80","Part-III","English","Helicopters are very different from airplanes. They can do three things that airplanes cannot do. First, when airplanes move upward, they must also move forward, but helicopters can move straight up without moving ahead. Second, helicopters can fly backward, which airplanes cannot do. Third, helicopters can use their rotors to hover in the air, which is impossible for planes. Helicopters can perform actions that airplanes cannot. they are used for different tasks. Since helicopters can take off without moving forward, they do not need a runway for take off. They are used in congested areas where there is no room for airplanes or in isolated areas, which do not have airports. Because they can hover, they are used on fire fighting missions to drop water on fires. They are used in logging operations to lift trees out of forests. Helicopters are used as air ambulances to airlift patients out of situations, which are difficult to reach, by conventional ambulances. The police use helicopters to follow suspects on the ground or to search for cars on the ground. Of course, helicopters have military uses because of their design and capabilities.","Point out the grammatical category of the underlined word 'very' in the above passage.","","Adjective","","Adverb","","Noun","","Verb","","b","दिय गय Passage क पहली पंक्ति में 'very' एक Adverb है जोकि Adjective (different) की विशेषता बता रहा है। 'Helicopters are very different from airplanes.' Adverb एक ऐसा शब्द है जो a verb, an adjective or another adverb को modify करता है। अतः सही विकल्प (b) है। शेष तीन विकल्प अभीष्ट नहीं है।"
"81","Part-III","English","","Give one word substitution for: The scientific study of insects.","","Entomology","","Criminology","","Mycology","","Meterology","","a","'The scientific study of insects' कीटों के अध्ययन करने वाले विज्ञान के लिए प्रयुक्त शब्द ""Entomology"" का प्रयोग किया जाता है। अतः विकल्प (a) सही उत्तर है। शेष तीन विकल्प इस प्रकार हैं- Criminology अपराध विज्ञान Mycology कवक विज्ञान Meterology - मौसम विज्ञान जोकि उपयुक्त उत्तर नहीं है।"
"82","Part-III","English","","Point out the correct direct speech of the following: I asked why he was looking through the keyhole.","","Do not look through the keyhole' I said.","","'Are you looking through the keyhole? I said.","","'Why 'are you looking through the keyhole?' I said.","","You are looking through the keyhole? I said.","","c","दिया गया Sentence Indirect sentence है इसका उपयुक्त Direct sentence विकल्प (c) में दिया गया है- 'Why are you looking through the keyhole?' I said. Direct का Indirect में बदलन के नियम- • Reporting verb के said को asked में बदलते हैं • Comma और Inverted comma को हटाकर Question word Why का प्रयोग होगा। ... Reported speech के present continuous tense को past continuous में बदलते हैं।... अतः सही विकल्प (c) है"
"83","Part-III","English","","Put the verbs in brackets into the correct present tense. My daughter never (write) to me so I never (know) what she (do).","","My daughter never write to me so I never knew what she does.","","My daughter never wrote to me so I never knew what she do.","","My daughter never writes to me so I never know what she is doing.","","My daughter never writes to me so I never knew what she does.","","c","दिये गये sentence का appropriate answer option (c) में दिया गया है। My daughter never writes to me so I never know what she is doing. अतः सही विकल्प (c) है। शेष तीनों विकल्प अभीष्ट नहीं है।"
"84","Part-III","English","","Pick out the correct synonym of the word 'Cantankerous'","","Quarrelsome","","Rash","","Noisy","","Disrespectful","","a","दिये गये शब्द ""Cantankerous"" का अर्थ 'झगड़ालू' होता है जिसका correct synonym विकल्प (a) में ""Quarrelsome'' दिया गया है। शेष तीन विकल्प इस प्रकार है- Rash - अतिशीघ्र, Noisy - कोलाहलपूर्ण, Disrespectful निरादरपूर्ण अतः सही विकल्प (a) है।"
"85","Part-III","English","","Pick out the sentence that has a demonstrative adjective in it.","","This kind of question is often asked in examinations.","","It is a twenty-kilometeres walk.","","Each of them received ten rupees.","","His written statement differs from his oral one.","","a","Demonstrative adjective-जिस Adjective का प्रयोग व्यक्तियों या वस्तुओं को सूचित, इंगित या निर्देशित करने के लिए किया जाता है उसे संकेतवाचक विशेषण कहते हैं जैसे-This, Those, These, That इत्यादि। अतः Demonstrative adjective विकल्प (a) में This kind of question ""दिया गया है। अतः विकल्प (a) सही उत्तर है। शेष तीनों अभीष्ट उत्तर नहीं है।"
"86","Part-III","English","","'To chew the cud' correctly means .","","To die on duty","","Contrive against someone","","To meditate","","To inculcate virtues","","c","दिय गय Idiom ""To chew to cud"" का अर्थ 'मनन या ध्यान करना' होता है जोकि विकल्प (c) में 'To meditate' दिया गया है। अतः सही विकल्प (c) है। शेष तीनों विकल्प अभीष्ट नहीं है।"
"87","Part-III","English","","Complete the following sentence with most appropriate choice. He 'was very much ashamed ... his mischief'.","","of","","for","","with","","over","","a","दिये गये sentence के रिक्त स्थान पर 'of' का प्रयोग होगा क्योंकि जब 'Ashamed' के बाद 'Action Noun' आता है तो 'Ashamed' के साथ preposition 'of' का प्रयोग होता है। अतः विकल्प (a) सही है।"
"88","Part-III","English","","Complete the following sentence with appropriate choice. '... he stood first, he would have gone to America'.","","Had","","If","","Have","","Anyways","","a","दिये गये sentence के रिक्त स्थान पर 'Had' का प्रयोग होगा क्योंकि sentence एक conditional sentence है। Conditional sentence वह वाक्य  भूत, वर्तमान और भविष्य की real और unreal situationdesire//condition की बात करते हैं। इसको बनाने के नियम-यहाँ If clause में 'Had' के साथ V का प्रयोग होता है। अतः सही विकल्प (a) है ""Had he stood first, he would have gone to America"" ""अगर वह पहले खड़ा होता तो अमेरिका पहुँच गया होता"""
"89","Part-III","English","","Fill in the blank. 'Of the sword and pen the ... is more powerful'.","","later","","last one","","latter","","last","","c","दिये गये sentence के रिक्त स्थान में 'Latter' का प्रयोग होगा क्योंकि दो व्यक्ति या वस्तु में से दूसरा के लिए latter का प्रयोग होता है जोकि विकल्प (c) में दिया गया है। अतः विकल्प (c) सही उत्तर है। Of the sword and pen the latter more powerful. तलवार और कलम में कलम ज्यादा शक्तिशाली होता है।"
"90","Part-III","English","","Which prefix can be used with the following words? behave, guide, use","","dis","","in","","mis","","re","","c","दिये गये 'behave, guide, use' के लिए correct prefix 'Mis' का प्रयाग appropriate होगा जो कि विकल्प (c) में  शेष तीनों विकल्प अभीष्ट नहीं है।"
"91","Part-IV","Social Science","","Bhilai steel plant is located in","भिलाई इस्पात कारखाना स्थित है-","Jharkhand","झारखंड में","Chhattisgarh","छत्तीसगढ़ में","Madhya Pradesh","मध्य प्रदेश में","Odisha","आडिशा में","b","भिलाई इस्पात कारखाना छत्तीसगढ़ में स्थित है। भिलाई इस्पात संयंत्र की स्थापना 1955 ई. में रूस के सहयोग से छत्तीसगढ़ के दुर्ग जिले में की गयी तथा उत्पादन 1959 से प्रारम्भ हुआ। यह संयंत्र कोलकाता मुम्बई रेलमार्ग पर स्थित है। यहाँ लौह अयस्क डल्ली राजहरा खानों से तथा कोयला कोरबा और करगाली खानों से प्राप्त होता है। बोकारो इस्पात संयंत्र की स्थापना रूस के सहयोग से 1964 में बोकारो (झारखण्ड) में स्थापित किया गया। राउरकेला-इस्पात संयंत्र जर्मनी के सहयोग से 1959 ई. में ओडिशा के सुंदरगढ़ जिले में स्थापित किया गया। नोट-स्टील अथॉरिटी ऑफ इंडिया (SAIL) की स्थापना जनवरी 1954 को की गयी।"
"92","Part-IV","Social Science","","Which one of the following rocks is an example of sedimentary rock?","निम्नलिखित शैलों में से कौन-सी अवसादी शैल का उदाहरण है?","Marble","संगमरमर","Slate","स्लेट","Shale","शैल","Granite","ग्रेनाइट","c","'शैल' अवसादी च‌ट्टान का उदाहरण है। पृथ्वी तल पर आग्नेय व रूपान्तरित चट्टानों के अपरदन व निक्षेपण के फलस्वरूप निर्मित चट्टानों को अवसादी चट्टान कहते हैं। इन्हें परतदार चट्टान भी कहा जाता है। इनके निर्माण में जैविक अवशेषों का भी योगदान होता है। (क) यांत्रिक क्रियाओं द्वारा निर्मित चट्टान-बलुआ पत्थर, कांगलोमेरेट या गोलाश्म, चीकामिट्टी, शैल तथा लोएस। (ख) जैविक तत्वों से निर्मित अवसादी चट्टान-चूना पत्थर, कोयला, पीट आदि। (ग) रासायनिक तत्वों से निर्मित अवसादी च‌ट्टान-खड़िया मिट्टी, सल खड़ी नमक की चट्टान। चट्टान तीन प्रकार की होती है- 1. आग्नेय चट्टान 2. अवसादी चट्टान 3. रूपान्तरित चट्टान"
"93","Part-IV","Social Science","","The tail of a comet always points","पुच्छल तारे की पूँछ की दिशा सदैव होती है-","away from the sun","सूर्य से दूर","towards the sun","सूर्य की ओर","towards North-East","उत्तर-पूर्व की ओर","towards South-East","दक्षिण-पूर्व की ओर","a","पुच्छल तार की पूँछ की दिशा सदैव सूर्य से दूर होती है ये आकस्मिक धूल बर्फ और हिमानी गैसों के पिंड हैं जो सूर्य से दूर अंधेरे क्षेत्र में रहते हैं। सूर्य के चारों ओर  लंबी किन्तु अनियमित या असमकेन्द्रित कक्षा में घूमते रहते हैं, जब ये सूर्य के समीप से गुजरते हैं तो गर्म होकर इन गैसों की फुहार निकलती है जो लंबी चमकीली पूँछ के समान प्रतीत होती हैं। सामान्य अवस्था में पुच्छल तारा (कॉमट) बिना पूँछ का होता है। पुच्छल तारा के शीर्ष का 'कोमा' कहते हैं। नोट- हैलेका धूमकेतु 76 वर्षों के अंतराल पर दिखाई पड़ता है।"
"94","Part-IV","Social Science","","Which one of the following is associate with fault?","निम्नलिखित में से कौन भंश से सम्बन्धित है?","Strike valley","नतिलम्ब घाटी","Anticlinorium","समपनति","Hogback","हॉगबैक","Graben","ग्राबेन","d","भ्रंश घाटी का विकास तब होता है जब दो भ्रंश रेखाओं के बीच की चट्टानी स्तम्भ नीचे की आर धस जाती है। तब तनाव जनित बल के कारण दो भूखण्डों का विपरीत दिशा में खिसकाव होता है, तब इसका निर्माण होता है, भ्रंश घाटियाँ लंबी, संकरी व गहरी होती हैं इन्हें जर्मन भाषा में 'ग्राबेन' कहा जाता है। विभिन्न स्थानों पर संपीडन की भिन्नता के कारण कभी-कभी एक वृहत अपनति में कई छोटी-छोटी अपनतियाँ व अभिनतियाँ मिलती हैं ऐसी आवृत्ति को समपनति कहते हैं। इसी तरह जब असामान्य संपीडन के कारण एक बृहत अभिनति के अन्तर्गत कई छोटी-छोटी अपनतियाँ व अभिनतियाँ बन जाती हैं तो उस वृहद अभिनति को समभिनति कहते हैं। इन दोनों स्थलाकृतियों को पंखाकार वलन कहते हैं।"
"95","Part-IV","Social Science","","Which one of the following is not a tropicana desert?","निम्नलिखित में से कौन उष्णकटिबंधीय मरुस्थल नहीं है?","Arabia","अरबिया","Atacama","अटाकामा","Gobi","गाबी","Kalahari","कालाहारी","c","गोबी उष्णकटिबंधीय मरुस्थल नहीं है, जबकि अरबिया, आटाकामा, कालाहारी उष्णकटिबंधीय मरुस्थल हैं। गांवी मरुस्थल चीन और मंगोलिया में स्थित हैं यह विश्व के ठंडे रेगिस्तानों में से एक हैं जहाँ तापमान शून्य से चालीस डिग्री नीचे तक चला जाता है, यह मरुस्थल अल्ताई पर्वतमाला से घिरा हुआ है। • सहारा मरुस्थल विश्व का सबसे बड़ा गर्म मरुस्थल है। विश्व के रेगिस्तान - काराकुम मरुस्थल (तुर्कमेनिस्तान), अटाकामा मरुस्थल (उत्तरी चिली) नोट-'थार' रेगिस्तान एक उष्णकटिबंधीय मरुस्थल है इसका विस्तार भारत और पाकिस्तान में है।"
"96","Part-IV","Social Science","","Which Part of the Indian Constitution deals with Fundamental Rights?","भारतीय संविधान का कौन-सा भाग मौलिक अधिकार से संबंधित है?","Part II","भाग II","Part I","भाग I","Part III","भाग III","Part IV","भाग IV","c","भारतीय संविधान का भाग-III मौलिक अधिकारों स सम्बन्धित है। यह अमेरिका के संविधान से लिया गया है। संविधान में इसका उल्लेख अनुच्छेद 12 से 35 तक में दिया गया है। संविधान के भाग-3  भारत का मैग्नाकार्टा कहा जाता है। मूल अधिकारों को संविधान द्वारा सुरक्षा प्रदान की गयी है जो राष्ट्र के लिये आवश्यक हैं। मूल रूप से संविधान में 7 मूल अधिकार प्रदान किये गये थे, लेकिन बाद में 44वें संविधान संशोधन अधिनियम 1978 द्वारा सम्पत्ति के अधिकार को मूल अधिकार की सूची से हटा दिया गया है। इसे संविधान के भाग XII में अनुच्छेद 300 क के तहत कानूनी अधिकार बना दिया गया। वर्तमान में छः मूल अधिकार हैं- 1. समता का अधिकार अनु. 14-18 2. स्वतन्त्रता का अधिकार अनु. 19-22 3. शोषण के विरूद्ध अधिकार अनु. 23-24 4. धार्मिक स्वतन्त्रता का अधिकार अनु. 25-28 5. संस्कृति एवं शिक्षा सम्बन्धी अधिकार अनु. 29-30 6, संवैधानिक उपचारों का अधिकार अनु, 32"
"97","Part-IV","Social Science","","Which one of the following Amendment of the Constitution of India deals with the issue of strengthening of the Panchayat Raj?","पंचायती राज को सुदृढ़ करने हेतु निम्नलिखित में से कौन सा भारतीय संविधान संशोधन किया गया?","44th Amendment","44 वाँ संशोधन","42nd Amendment","42 वाँ संशोधन","73rd Amendment","73 वाँ संशोधन","86th Amendment","86 वाँ संशोधन","c","पंचायती राज को सुदृढ़ करने हेतु भारतीय संविधान सभा द्वारा 73 वां संविधान संशोधन 1992 में किया गया तथा 1993 में लागू हुआ। भारत में पंचायती राज शब्द का उल्लेख ग्रामीण स्थानीय स्वशासन से सम्बंधित है। राजस्थान देश का पहला राज्य था जहाँ पंचायती राज की स्थापना हुयी। पंचायतीराज व्यवस्था की शुरूआत 2 अक्टूबर 1959 को राजस्थान के नागौर जिले में तत्कालीन प्रधानमंत्री पं. जवाहर लाल नेहरू द्वारा किया गया। इस अधिनियम ने भारत के संविधान में एक नया खंड भाग-IX सम्मिलित किया गया, इसे 'पंचायत' के नाम से जाना जाता है। अनुच्छेद 243 से 243 'ण' तक में सम्मिलित है। इस अधिनियम ने संविधान में 11वीं अनुसूची भी जोड़ी। इस अनुसूची में 29 विषय सम्मिलित हैं। नोट- संविधान के अनुच्छेद 40 को एक व्यावहारिक रूप दिया जिसमें कहा गया है कि, ""राज्य, ग्राम पंचायतों को गठित करने के लिये एक कदम उठायेगा।"""
"98","Part-IV","Social Science","","The office of International Court of Justice is situated in","अन्तर्राष्ट्रीय न्यायालय का मुख्यालय स्थित है-","London","लंदन","New York","न्यूयार्क","The Hague","द हंग","Paris","परिस","c","अन्तर्राष्ट्रीय न्यायालय का मुख्यालय द हेग (नीदरलैण्ड) में स्थित है। इसकी स्थापना 1945 ई. में संयुक्त राष्ट्र के चार्टर द्वारा की गयी और अप्रैल 1946 से काम करना शुरू किया। इस न्यायालय में 15 न्यायाधीश होते हैं जिन्हें संयुक्त राष्ट्र महासभा और सुरक्षा परिषद द्वारा 9 वर्षों के लिये चुना जाता है। ये दोनों निकास एक समय पर लेकिन अलग-अलग मतदान करते हैं। अन्तर्राष्ट्रीय न्यायालय में भारतीय न्यायाधीश का क्रम सर बेनेगल राव (1952-53), नागेन्द्र सिंह (1985-1988, )रघुनंदन स्वरूप पाठक (1989-1991), दलवीर भण्डारी (27 अप्रैल 2012 से अब तक)। यूनेस्को का मुख्यालय पेरिस फ्रांस में है"
"99","Part-IV","Social Science","","Population control and family planning is listed in which Schedule in the Indian Constitution?","जनसंख्या नियंत्रण व परिवार नियोजन विषय भारतीय संविधान के अंतर्गत किस सूची में शामिल है?","Union list","संघ सूची","State list","राज्य सूची","Concurrent list","समवर्ती सूची","Residual subjects","अवशिष्ट विषय","c","जनसंख्या नियंत्रण व परिवार नियोजन विषय भारतीय संविधान के अन्तर्गत समवर्ती सूची में शामिल हैं। संघ सूची, राज्य सूची और समवर्ती सूची का उल्लेख सातवीं अनुसूची में हैं। संघ सूची में मूल रूप से 97 विषय (वर्तमान में 100 विषय), राज्य सूची में मूल रूप से 66 विषय (वर्तमान में 61 विषय) और समवर्ती सूची में 47 विषय शामिल थे। संघ सूची के विषय-भारतीय रिजर्व बैंक, संघ लोक का ऋण, डाकघर बचत बैंक, रेल, रक्षा उद्योग, जनगणना, अखिल भारतीय सेवाएँ आदि। राज्य सूची-लोक व्यवस्था, पुलिस, पथकर, कृषि आय पर कर, राज्य लोक ऋण, लोक स्वास्थ्य और स्वच्छता आदि। समवर्ती सूची-बाट माप जिनके अन्तर्गत मानकों का नियत किया जाना, सामाजिक सुरक्षा और सामाजिक वीमा नियोजन, जन्म-मरण सांख्यिकी जिसके अन्तर्गत जन्म और मृत्यु रजिस्ट्रीकरण है।"
"100","Part-IV","Social Science","","Which one of the following Directive Principles related to Foreign Policy?","निम्नलिखित में से कौन-सा निदेशक सिद्धांत विदेश नीति से संबंधित है?","Article 49","अनुच्छद 49","Article 48","अनुच्छेद 48","Article 50","अनुच्छेद 50","Article 51","अनुच्छेद 51","d","अनुच्छेद-51 नीति निदेशक सिद्धान्त के अन्तर्गत विदेश नीति से सम्बंधित है, इसका आशय यह है कि अन्तर्राष्ट्रीय शांति और सुरक्षा की अभिवृद्धि करना तथा राष्ट्रों के बीच न्यायपूर्ण और सम्मानपूर्ण सम्बन्धों को बनाए रखना • राष्ट्रीय महत्व वाले घोषित किये गये कलात्मक या ऐतिहासिक अभिरुचि वाले स्मारक या स्थान या वस्तु का संरक्षण करना- अनुच्छेद 49। • कृषि और पशुपालन को आधुनिक और वैज्ञानिक बनाने का प्रयास करना-अनुच्छेद 48 • पर्यावरण का संरक्षण तथा संवर्धन और वन तथा वन्य जीवों की रक्षा करना-अनुच्छेद 48(A)। • राज्य की लोक सेवाओं में, न्यायपालिका को कार्यपालिका से पृथक करना-अनुच्छेद 50 • ग्राम पंचायतों का गठन और उन्हें आवश्यक शक्तियां प्रदान कर स्वशासन की इकाई के रूप में कार्य करने की शक्ति प्रदान करना अनुच्छेद 40।"
"101","Part-IV","Social Science","","Inversion of temperature means","तापक्रम विलोमता का अर्थ है-","Increase of temperature with height","बढ़ती ऊँचाई के साथ बढ़ता तापक्रम","Decrease of temperature with height","बढ़ती ऊँचाई के साथ घटता तापक्रम","Constant temperature with height","बढ़ती ऊँचाई के साथ स्थिर तापक्रम","Fluctuating temperature with height","बढ़ती ऊँचाई के साथ अस्थिर तापक्रम","a","तापक्रम विलामता का अर्थ है, बढ़ती ऊँचाई के साथ बढ़ता तापक्रम। सामान्य नियम के विपरीत जब वायुमण्डल में ऊँचाई वृद्धि के साथ तापमान में कमी की जगह वृद्धि होने लगती है तब यह स्थिति तापीय विलोमता कहलाती है। इस स्थिति में तापमान की उर्ध्वाधर प्रवणता उलट जाती है एवं वायु की शीतल परतें नीचे तथा गर्म परतें ऊपर स्थापित हो जाती हैं। जब गर्म हवा ठंडी हवा के ऊपर स्थापित हो जाती हैं तो वहां कोहरा बनता है। इस तरह का कोहरा जाड़े की रातों में प्रायः धुन्ध सा रहता है क्योंकि चिमनियों के धुएं विलोमता परत में पहुँचकर इसे आसान बना देते हैं।"
"102","Part-IV","Social Science","","Which one of the following reservoirs is associated with Rihand Project?","निम्नलिखित जलाशयों में से कौन रिहन्द परियोजना से सम्बन्धित है?","Govind Ballabh Pant Sagar","गोविन्द वल्लभ पंत सागर","Gandhi Sagar","गाँधी सागर","Jawahar Sagar","जवाहर सागर","Govind Sagar","गोविन्द सागर","a","'रिहन्द परियोजना' गोविन्द वल्लभ पंत सागर जलाशय से सम्बंधित हैं। रिहन्द परियोजना उ.प्र. में सोन की प्रसिद्ध घाटी में उसकी सहायक नदी रिहन्द पर बनाया गया है, इस बांध के पीछे गोविन्द वल्लभ पंत सागर नामक एक कृत्रिम झील बनाई गयी हैं। यह भारत की सबसे बड़ी कृत्रिम झील हैं। यह म.प्र. तथा उ.प्र. की सीमा पर स्थित हैं। चंबल परियोजना यमुना की सहायक चम्बल नदी पर संयुक्त रूप से बनाई गयी हैं इस परियोजना के अन्तर्गत म.प्र. में गांधी सागर बांध तथा राजस्थान में राणा प्रताप सागर बांध, जवाहर सागर बांध बनाए गये हैं। इस परियोजना का मुख्य उद्देश्य चंबल नदी श्रेणी में मृदा संरक्षण करना है भाखड़ा नांगल परियोजना-पंजाब हिमाचल प्रदेश में सतलत नदी पर बनाया गया है यह देश की सबसे बड़ी बहुउद्देशीय नदी घाटी परियोजना है, भाखड़ा नांगल बांध संसार का सबसे ऊँचा गुरुत्वीय बांध है. बांध के पीछे बनी झील गोविन्द सागर झील है।"
"103","Part-IV","Social Science","","Shipki La is the famous mountain pass of","शिपकीला प्रसिद्ध पर्वतीय दर्रा है-","Uttarakhand","उत्तराखण्ड का","Jammu and Kashmir","जम्मू एवं कश्मीर का","Sikkim","सिक्किम का","Himachal Pradesh","हिमाचल प्रदेश का","d","शिपकीला दर्रा हिमाचल प्रदेश का प्रसिद्ध पर्वतीय दर्श है। यह दर्रा शिमला को तिब्बत से जोड़ता है। लददाख क्षेत्र में स्थित काराकोरम दर्रा भारत का सबसे ऊँचा दर्रा है, यहाँ से चीन को जाने वाली सड़क भी बनायी गयी है। जोजिला दर्रा जास्कर श्रेणी में स्थित है, इससे श्रीनगर से लेह का मार्ग गुजरता है बनिहाल दर्रे से जम्मू से श्रीनगर जाने का मार्ग गुजरता है तथा जवाहर सुरंग भी बनिहाल दर्रे में है। सिक्किम में स्थित नाथूला व जैलेप्ला दर्रे का व्यापक महत्व है, यहाँ से दार्जलिंग व चुम्बी घाटी से होकर तिब्बत जाने का मार्ग है। नोट-थांगला, माना, नीति व लिपुलेख दर्श उत्तराखंड के कुमायूँ श्रेणी में स्थित है।"
"104","Part-IV","Social Science","","Social studies teacher should have the knowledge of subject matter as well","सामाजिक अध्ययन के अध्यापक को विषय-वस्तु के साथ-साथ ज्ञान होना चाहिए-","Teaching methods","शिक्षण विधियों का","Educational objectives","शिक्षा के उद्देश्यों का","Teaching technology","शिक्षण तकनीक का","None of these","इनमें से कोई नहीं","*","सामाजिक अध्ययन के अध्यापक को विषय वस्तु के साथ-साथ शिक्षण विधियों, शिक्षा के उद्देश्यों तथा शिक्षण तकनीक का भी ज्ञान होना चाहिए। जिस ढंग से शिक्षक शिक्षार्थी को ज्ञान प्रदान करता है उसे शिक्षण विधि कहते हैं शिक्षण की विधियाँ आगमन विधि आदि हैं (Table of methods and proponents follows) नोट- इस प्रश्न में (a), (b) तथा (c) तीनों विकल्प सही है"
"105","Part-IV","Social Science","","The most useful teaching material for Geography is","भूगोल शिक्षण हेतु सर्वाधिक उपयोगी सहायक सामग्री है-","Map","मानचित्र","Calendar","कैलेण्डर","Flash Card","फ्लैश कार्ड","Barometer","बैरोमीटर","a","भूगोल शिक्षण हेतु सर्वाधिक उपयोगी सहायक सामग्री 'मानचित्र' है। मानचित्र पृथ्वी की सतह या इसके एक भाग का पैमाने के माध्यम से चपटी सतह पर खींचा गया चित्र है। मानचित्र विभिन्न प्रकार के होते हैं भौतिक मानचित्र-पृथ्वी की प्राकृतिक आकृतियों जैसे-पर्वत, पठार, नदियाँ, मैदान महासागरों इत्यादि को दर्शाने वाले मानचित्रों को भौतिक या उच्चावच मानचित्र कहा जाता है। थिमैटिक मानचित्र-कुछ मानचित्र विशेष जानकारियां प्रदान करते हैं जैसे सड़क मानचित्र, वर्षा मानचित्र, वन तथा उद्योगों आदि के वितरण दर्शाने वाले मानचित्र  थिमैटिक मानचित्र कहा जाता है। नोट-मानचित्र के तीन घटक है- 1. दूरी 2. दिशा 3. प्रतीक"
"106","Part-IV","Social Science","","'Ashtadhyayee' was written by","'अष्टाध्यायी' के लेखक थे-","Panini","पाणिनि","Vedavyas","वेदव्यास","Shukadeva","शुकदेव","Valmiki","वाल्मीकि","a","अष्टाध्यायी के लेखक पाणिनी हैं- (Table of authors and books follows)"
"107","Part-IV","Social Science","","The Second Buddhist Council was held during the reign of","द्वितीय बौद्ध संगीति का आयोजन किसके राज्यकाल में हुआ था?","Mahapadmananda","महापद्‌मानन्द","Udayabhadra","उदयभद्र","Shishunaga","शिशुनाग","Kalashoka","कालाशाक","d","द्वितीय बौद्ध संगीति का आयोजन कालाशोक के राज्यकाल में हुआ था। बौद्ध सभाएँ जो आयोजित की गयी। (Table of Buddhist councils follows) नोट-चतुर्थ बौद्ध संगीति के बाद बौद्ध धर्म दो भागों में हीनयान एवं महायान में विभाजित हो गया।"
"108","Part-IV","Social Science","","Akbar constructed 'Ibadat-Khana' in","अकबर ने 'इबादत खाना' का निर्माण करवाया था-","Fathehpur Sikri","फतेहपुर सीकरी में","Agra","आगरा में","Delhi","दिल्ली में","Sikandara","सिकंदरा में","a","अकबर ने इबादतखाना का निर्माण फतेहपुर सीकरी में करवाया था, जिसका अर्थ पूजा का घर होता है। इसका निर्माण 1575 ई. में किया गया था। इबादत खाना में अकबर विभिन्न धर्मों के विद्वानों के साथ चर्चा करते थे। (Table of monuments follows)"
"109","Part-IV","Social Science","","The Arya Samaj was founded in the year","आर्य समाज की स्थापना हुई थी-","1870 A.D.","1870 ई. में","1865 A.D.","1865 ई. में","1875 A.D.","1875 ई. में","1880 A.D.","1880 ई. में","c","आर्य समाज की स्थापना 1875 ई. में मुम्बई में हुयी थी। इसकी स्थापना स्वामी दयानन्द सरस्वती ने की थी। (Table of organizations and founders follows)"
"110","Part-IV","Social Science","","Who among the following was not associated with Kakori case?","निम्न में से कौन काकोरी कांड से सम्बन्धित नहीं है?","Rajendra Lahiri","राजेन्द्र लाहिड़ी","Ramprasad Bismil","रामप्रसाद बिस्मिल","Ashfaqullah Khan","अशफाकउल्ला खाँ","Surya Sen","सूर्य सेन","d","काकोरी कांड से सूर्य सेन सम्बन्धित नहीं हैं जबकि राजेन्द्र लाहिड़ी, रामप्रसाद बिस्मिल, अशफाकउल्ला खाँ काकोरी कांड से सम्बंधित हैं। हाल ही में उ.प्र. सरकार ने काकोरी कांड का नाम बदलकर काकोरी ट्रेन एक्शन कर दिया। इसका नाम इसलिए बदल दिया गया कि कांड शब्द सही भावना को नहीं दर्शाता है। यह घटना 9 अगस्त 1925 को लखनऊ के पास काकोरी नामक गांव में ब्रिटिश राज के खिलाफ भारतीय स्वतन्त्रता आन्दोलन के क्रांतिकारियों द्वारा की गयी थी। नोट-सूर्य सेन चटगाँव शस्त्रागार लूट (18 अप्रैल 1930) से सम्बन्धित थे। बंगाल के सूर्यसेन (मास्टर दा) ने अंग्रेजों के विरूद्ध प्रबल क्रांतिकारी आन्दोलन का नेतृत्व किया।"
"111","Part-IV","Social Science","","Which one of the following is the most suitable teaching aid to show proportionate size and shape of continents?","निम्नांकित में से कौन-सी शिक्षण सहायक सामग्री महाद्वीपों के आनुपातिक क्षेत्र एवं आकार को दर्शाने में सर्वाधिक उपयुक्त है?","Physical map of the world","विश्व का प्राकृतिक मानचित्र","Political map of the world","विश्व का राजनैतिक मानचित्र","Globe","ग्लाब","None of these","इनमें से कोई नहीं","c","'ग्लाब' एक सहायक शिक्षण सामग्री है। जिसका प्रयाग महाद्वीपों के आनुपातिक क्षेत्र एवं आकार को दर्शाने में सर्वाधिक उपयुक्त हैं। ग्लोब पृथ्वी का लघु रूप में एक वास्तविक प्रतिरूप है। ग्लोब पर देशों, महाद्वीपों तथा महासागरों को उनके सही आकार में दिखाया जाता है। भौतिक मानचित्र वो मानचित्र होते हैं जो पृथ्वी की प्राकृतिक विशेषताओं को दर्शाता है, जैसे पर्वत, पठार, मैदान, महासागर, नदियाँ आदि। राजनीतिक मानचित्र वा मानचित्र होते हैं जिसमें देशों, राज्यों, कस्बों , और शहरों का प्रतिनिधित्व उनकी राजनीतिक सीमाओं के साथ किया जाता है। थिमैटिक मानचित्र-कुछ मानचित्र विशेष जानकारियां प्रदान करते हैं- जैसे सड़क मानचित्र, वर्षा मानचित्र आदि इस प्रकार के मानचित्र को थिमैटिक मानचित्र कहते हैं। नोट-मानचित्र के तीन घटक हैं-दूरी, दिशा और प्रतीक"
